,title,vote,genre,country,time,grade,poster_path,actor_1,actor_2,actor_3,year,month,day,content
327,토이 솔져스: 가짜사나이2 더 컴플리트,관람객 평점 없음,['다큐멘터리'],한국,112분,15세 관람가,https://movie-phinf.pstatic.net/20210119_74/1611022473600mjTT8_JPEG/movie_image.jpg?type=m203_290_2,김병지, 줄리엔 강, 힘의길,2021,01,27,"“할 수 있어! 극복해!”', ', 가짜가 대세인 현실세계에 진솔한 모습을 통해 ‘진짜’를 보여주며 공명하고 있는 리얼 버라이어티 콘텐츠인 가짜사나이2 극장판, ‘토이 솔져스’가 손바닥만한 화면에서 벗어나, 스크린을 통해 보다 리얼하게 관객에게 다가간다."
328,레전더리 콘서트: 레너드 번스타인,관람객 평점 없음,['공연실황'],독일,78분,전체 관람가,https://movie-phinf.pstatic.net/20201222_43/1608601152351q57fd_JPEG/movie_image.jpg?type=m203_290_2,귀네스 존스,,,2021,01,01,"레너드 번스타인은 경계 없는 음악의 자유인이었다. 뉴욕 필하모닉 최연소 음악 감독에 임명되며 당대 최고의 지휘자 자리에 올랐고 ‘청소년 음악회’를 통해 클래식 음악의 미래 저변을 확장했다. 큰 인기를 끈 뮤지컬 ‘웨스트 사이드 스토리’를 작곡하는 등 전방위적인 예술 활동을 펼치며 가장 미국적인 음악가로서 새로운 전형을 제시했다. 이번 공연 실황은 번스타인이 활동 무대를 유럽으로 확장해 빈 필하모닉을 지휘하며 말년의 원숙미를 더하던 모습을 담아낸 기록이다.', 연주되는 베토벤 교향곡 제9번 ‘합창’은 청력을 완전히 잃은 작곡가가 남긴 마지막 교향곡이자 고전주의를 완성하는 최고의 걸작으로 꼽힌다. 디지털 5.1 서라운드 사운드로 복원되어 환희와 인류애의 메시지가 생생히 울려 퍼지는 벅찬 대화합의 무대에서 번스타인은 음악이 세상을 자유롭게 할 것이라고 당당히 선언한다."
330,서바이브 더 나잇,관람객 평점 없음,"['액션', '스릴러']",미국,90분,15세 관람가,https://movie-phinf.pstatic.net/20210121_251/1611207902439ym6ME_JPEG/movie_image.jpg?type=m203_290_2,브루스 윌리스, 채드 마이클 머레이,,2021,02,03,"의료 사고로 파산한 의사 ‘리치’(채드 마이클 머레이)는아내와 딸을 데리고 부모님이 살고 있는 농장으로 돌아온다.누나의 도움으로 마을 병원에 일자리를 얻지만아버지 ‘프랭크’(브루스 윌리스)와의 사이는 냉랭하기만 하다.한편, ‘제이미’와 ‘매트’ 형제는 사람을 죽이고 거금을 훔쳐 멕시코로 도망 중이다.잠시 들른 휴게소에서 충동적으로 싸움에 휘말린 결과로‘매트’가 심한 부상을 입게 된다.‘매트’를 위해 마을 병원을 찾은 ‘제이미’는 우연히 마주친 ‘리치’를 미행하고,그의 집에 쳐들어가 가족들을 인질로 잡고 형을 치료하라고 협박한다.가족들을 안전하게 보호하기 위해범죄자인 ‘매트’를 치료해야만 하는 ‘리치는’ 고민에 빠지고평생 범죄자를 상대해오며 어차피 치료를 해도이들이 가족을 살려 둘 리 없음을 잘 아는 전직 보안관 ‘프랭크’는 반격을 노리는데…잔인하기만 했던 그날 밤, 과연 이들은 살아남을 수 있을까?"
332,어처구니 없는,관람객 평점 없음,"['미스터리', '코미디']",푸에르토리코,91분,15세 관람가,https://movie-phinf.pstatic.net/20210323_25/1616468061183whrg6_JPEG/movie_image.jpg?type=m203_290_2,데니스 키노네스,,,2021,04,22,"사고로 아버지를 잃은 트라우마로', 혈액공포증을 앓는 보철 의료기 제작사 ‘마르코’.', ', 어느 날 그의 실수로 삼촌 ‘아귀레’가 죽고', 패닉에 빠진 ‘마르코’는 사건을 감추려 하지만', 흔적 없이 사라진 ‘아귀레’에 대해 의문을 품은 이들로 인해', 조용하던 ‘마르코’의 일상은 완전히 뒤집힌다.', ', 예상치 못한 변수 ‘애나’까지 나타나면서', 완벽한 범죄를 꿈꾸던 ‘마르코’의 모든 계획이 어긋나는데..', ', 예상보다 이상하고, 상상보다 훨씬 더 비범한 이야기', 오늘 난 완전 범죄를 꿈꾼다!"
333,칙 파이트,관람객 평점 없음,"['드라마', '액션', '코미디']",미국,97분,15세 관람가,https://movie-phinf.pstatic.net/20210118_170/1610945666482UGC3d_JPEG/movie_image.jpg?type=m203_290_2,말린 애커맨, 벨라 손, 알렉 볼드윈,2021,02,04,"되는 일 없이 점점 꼬여만 가는 인생이 답답한 플로리다의 싱글녀 ‘애나’.', 그녀의 절친은 자신감을 되찾아야 할 때라며 ‘애나’를 여성 전용 파이트 클럽으로 데려간다.', ', 싸워본 적도 없고 싸우는 것도 싫은 그녀는 얼떨결에 클럽의 일원이 되고', 어느 날, 무소불위 강자 ‘올리비아’가 자존심을 건드리자 충동적으로 결투를 신청하는데…', ', 언니들의 미친 맞짱이 시작된다!"
335,로그시티,관람객 평점 없음,"['드라마', '액션', '범죄']",프랑스,115분,청소년 관람불가,https://movie-phinf.pstatic.net/20210111_248/1610345142246RSGNH_JPEG/movie_image.jpg?type=m203_290_2,래닉 가우트리, 스타니슬라 메하르, 데이비드 벨,2021,02,11,"두 마약 밀매 조직이 암투를 벌이고 있는 마르세유에 새로운 치안총감이 부임한다. 그 시각 많은 사람들이 모인 클럽에 테러 조직이 난입해 무차별적인 총격전이 벌어지고, 두 조직간의 사태를 더욱 악화시킨다. 이때 총격전에서 빠져 나오지 못한 조직원 한 명이 경찰의 조사를 받게 되고, 그 과정에서 경찰에 의해 살해 당하게 된다. 이 사건으로 부패한 경찰이 내부 정보를 마약 밀매 조직에 흘리고 있다는 사실이 밝혀지고, 경찰 내부에서는 서로를 의심하기 시작하는데…"
339,라스트 카우보이,관람객 평점 없음,"['액션', '스릴러']",미국,84분,15세 관람가,https://movie-phinf.pstatic.net/20200916_36/1600219386743OQnsr_JPEG/movie_image.jpg?type=m203_290_2,톰 핼룸, 더스틴 로즈,,2020,10,26,"[""일정한 직업도 없이 도박판을 전전하는 '제섭'은 인디언에게 돈을 빌렸다가 갚지 못해 궁지에 몰린다., 어느 날, 텍사스의 카우보이 전설처럼 내려오던 거물 마약밀매업자가 사망하자 제섭은 그가 남긴 돈을 가로챌 계획을 세우는데..."
340,놈놈놈: 캔자스의 무법자,관람객 평점 없음,"['액션', '스릴러']",미국,80분,15세 관람가,https://movie-phinf.pstatic.net/20200916_214/16002201501321AvfD_JPEG/movie_image.jpg?type=m203_290_2,제리 체서, 러셀 돕슨,,2020,11,02,"캔자스주에 사는 돌턴 형제.형이자 부보안관인 프랭크가 무법자들의 손에 잔인하게 살해되자그의 동생인 밥 돌턴, 에밋 돌턴, 그랫 돌턴은 제 손으로 범인을 처단하기 위해 지역 보안관의 부하로 취직한다.하지만, 2년 가까이 일하고도 복수는 꿈도 꾸지 못하는 현실에 형제는 아예 무법지가 되기로 결심하는데..."
341,신황제를 위하여,관람객 평점 없음,['액션'],한국,99분,청소년 관람불가,https://movie-phinf.pstatic.net/20201103_230/1604368867666khVcj_JPEG/movie_image.jpg?type=m203_290_2,서준영, 송민경, 금광산,2020,11,11,"학창시절 전설의 주먹으로 명성을 날리던 ‘신황제’', 고등학교를 졸업 후 평범한 생활을 이어가던 그에게', 오랜 친구로부터 은밀한 제안을 받는다.', ', 어둠의 세계로 입성 후 숨겨왔던 야망이 깨어나고,', 보스의 여자 ‘주미란’에게 강렬한 끌림을 받게 되는데…', ', 돌이킬 수 없다면 끝까지 간다!"
342,루아나의 세계,관람객 평점 없음,['드라마'],미국,91분,12세 관람가,https://movie-phinf.pstatic.net/20200923_212/1600847465297zkAIB_JPEG/movie_image.jpg?type=m203_290_2,페이튼 케네디, 조베스 윌리암스, 스튜어트 마골린,2020,11,16,가족 문제로 고민이 많은 12살 사춘기 소녀 루아나.설상가상으로 할아버지의 병세가 심해져 루아나는 부모님과 할머니와 함께 할아버지를 만나러 간다.한편 할아버지 집으로 가는 길에 들른 식당 화장실 거울에서 립스틱으로 쓰인 무서운 문구를 발견하는데...
346,청춘열애,관람객 평점 없음,"['멜로/로맨스', '드라마']",중국,112분,전체 관람가,https://movie-phinf.pstatic.net/20210726_237/1627281752853keRHx_JPEG/movie_image.jpg?type=m203_290_2,마사순, 종초희, 황징위,2021,08,,"뛰어난 실력과 아름다운 외모를 갖춘 무용수 리마이.작은 도시를 벗어나 자유롭게 살기만을 바라는 원차오.자신도 모르는 사이에 범죄조직에 얽혀 불법 행위에 가담하게 된 펑쯔.한 편의 영화 같은 인생을 살기를 꿈꿨던 세 청춘의 사랑, 고난 그리고 성장에 관한 이야기."
353,정무문: 레전드 파이터,관람객 평점 없음,['액션'],중국,84분,15세 관람가,https://movie-phinf.pstatic.net/20200825_192/1598335772145BqX85_JPEG/movie_image.jpg?type=m203_290_2,진혁명, 유천여, 조철영,2020,09,22,"근대 중국의 이름난 무술인 ‘곽원갑’은 중국 무술의 진흥을 위해 정무체육회 설립을 준비 중이다. ‘진진’은 사부가 ‘곽원갑’과의 대련 도중 독살당했다고 믿고 원수를 갚기 위해 찾아온다.', 곽씨 가문 사람들에게 두들겨 맞고 쫓겨난 끝에 길거리를 헤맨 ‘진진’은 ‘조가응’, ‘조가가’ 남매의 도움을 받게 된다.', ‘진진’은 ‘조가응’의 소개로 일본 무술인 ‘가토’를 만나 무술을 배우며 깊은 친분을 맺고', ‘조가가’의 도움을 받아 ‘진진’의 사부 죽음에 대해 조사를 계속한다.', 그러나 일본이 정무체육회 설립을 막기 위한 음모를 꾸미면서 ‘진진’과 조가 남매,', ‘가토’는 모두 난세의 격랑에 휘말리게 되는데..."
356,그린 러시,관람객 평점 없음,"['액션', '범죄', '스릴러']",미국,87분,청소년 관람불가,https://movie-phinf.pstatic.net/20200831_144/1598836571632IRrRv_JPEG/movie_image.jpg?type=m203_290_2,마이크 포이, 폴 텔퍼, 크리스 도잘,2020,09,17,"[""캘리포니아에서 합법이 된 마리화나 농장을 운영하는 '롭'은 그의 연인 '마리아'와 행복한 미래를 꿈꾸며 살아간다. "", 그러던 어느 날, 한 탕을 꿈꾸는 농장 직원 ‘제이콥’은 무자비한 갱스터 ‘티커’의 덫에 걸려 ‘롭’을 위협에 빠뜨리게 되고, 간단할 줄 알았던 범죄 계획은 예상치 못한 난관에 부딪히게 되는데…', 걷잡을 수 없는 상황에 몰린 침입자들과 이들에 맞서 더욱 잔혹 해지는 자들의 벼랑 끝 생존을 건 사투가 시작된다."
358,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",관람객 평점 없음,['공연실황'],한국,80분,전체 관람가,https://movie-phinf.pstatic.net/20200909_27/1599613772180VMijj_JPEG/movie_image.jpg?type=m203_290_2,김호중,,,2020,09,29,"2020년 대한민국을 뒤흔든 트로트계의 파바로티, ‘트바로티 김호중’과 아리스가 서로에게 전하고픈 하나의 진심을 <그대, 고맙소 : 김호중 생애 첫 팬미팅 무비>에 담아 전한다.“꼭 말해주고 싶었습니다”2020년 8월, 김호중 팬미팅 현장의 열기와 기쁨, 현장에선 보지 못했던 비하인드 스토리와 미공개 무대까지 스크린에 담았다. 스크린X 오리지널 작품으로 기획 단계부터 고려된 3면 촬영 영상이 선보이는 현장보다 더 생생한 팬미팅 무비!팬미팅 현장에서 열창했던 곡들과 <그대, 고맙소 : 김호중 생애 첫 팬미팅 무비>를 위해 특별히 촬영된 미공개 무대까지 총 10곡의 무대를 선보인다. 역경을 딛고 일어나 인생역전의 아이콘이 되기까지 김호중이 느껴온 심정과 다져온 각오를 표현한 노래들을 담고 있다. 신곡과 미공개 무대들을 포함한 팬미팅 무비는 군입대 전 마지막 팬미팅 영상이자 팬들에게 전하고픈 김호중의 진심을 꾹꾹 눌러 담아 전하고 있다."
359,데스 숏컷,관람객 평점 없음,"['판타지', '공포', '스릴러']",독일,75분,15세 관람가,https://movie-phinf.pstatic.net/20210126_85/1611652151631LTxPa_JPEG/movie_image.jpg?type=m203_290_2,안드레이 클로드,,,2021,02,03,"평화로운 어느 오후, 5명의 학생을 태운 버스를 운전하던 ‘조셉’은 도로 위 장애물로 움직일 수 없게 되자 막다른 길을 선택한다. 낯선 갈림길에 방치된 사슴을 발견하고 버스에서 내린 ‘조셉’은갑작스레 자신을 덮쳐온 탈옥수에게 인질로 잡히고,불청객이 탑승한 버스는 계속 달린다.하지만 어두운 터널에서 멈춰버린 버스.예고 없이 고립된 이들의 눈 앞에 믿을 수 없는 괴생물체가 나타나는데..벗어날 수 없는 공포의 터널에 갇힌 자들, 더이상 출구는 없다!"
363,더 테러 라이브: 스쿨 어택,관람객 평점 없음,['액션'],미국,109분,전체 관람가,https://movie-phinf.pstatic.net/20210901_272/1630484398591HG3E6_JPEG/movie_image.jpg?type=m203_290_2,라다 미첼, 토마스 제인,,2021,09,02,"엄마를 잃고 세상과 담을 쌓은 조이.졸업 파티를 앞둔 교내는 설렘으로 가득하지만,조이는 좀처럼 분위기에 섞이지 못한다.그러던 중, 총을 든 학생들이교내 식당에 침입해 학생들을 인질로 붙잡고,가까스로 학교에서 빠져나온 조이는학교에 남은 사람들을 구하기 위해 다시 학교로 돌아가는데…"
365,섀도우 클라우드,관람객 평점 없음,"['SF', '판타지', '액션']",미국,84분,15세 관람가,https://movie-phinf.pstatic.net/20210409_164/1617948216566NUBhq_JPEG/movie_image.jpg?type=m203_290_2,클로이 모레츠, 닉 로빈슨, 칼란 멀베이,2021,04,22,"폭풍우가 몰아치는 제2차 세계대전의 어느 밤,극비 임무를 맡은 여성 비행장교 ‘개릿’(클레이 모레츠)이이륙을 앞둔 폭격기에 탑승한다.자신을 무시하는 탑승원들의 비난과 조롱을 당하며우여곡절 끝에 비행기 하부에 자리하게 된 그녀는항공기에 매달린 괴생명체를 발견하지만 아무도 그녀의 말을 믿지 않는다.설상가상으로 적군의 비행기가 그들에게 무차별 폭격을 퍼붓고‘개릿’은 자신의 극비 임무를 지켜내지 못할 위기에 처하게 되는데한 치 앞도 예상할 수 없는 일촉즉발의 상황하늘 위 괴생명체와 폭격, 그리고 지켜야 할 비밀 임무까지!반드시 해내야 한다!"
367,드림 스캐너,관람객 평점 없음,"['SF', '스릴러']",캐나다,105분,15세 관람가,https://movie-phinf.pstatic.net/20210422_77/1619056839177dJUMl_JPEG/movie_image.jpg?type=m203_290_2,줄리아 사라 스톤, 랜던 리보이론,,2021,04,29,"[""악몽과 불면증에 시달리던 '세라'"", 숙면에 대한 희망으로 대학 수면 임상시험에 참여하지만,', 악몽 속 검은 그림자는 여전히 그녀를 괴롭힌다.', ', 숙면을 미끼로 비밀리에 자신의 꿈을 스캔한다는 걸 알게 되지만', 그녀 역시 꿈속 그림자를 밝혀내기 위해 실험은 계속된다.', ', 꿈속 검은 그림자의 실체에 다가가게 되자', 그림자는 꿈이 아닌 현실에 모습을 드러내기 시작한다.', 과연 꿈속 그림자의 정체는 무엇인가?"
